date,money
27.08.2004,532.065
30.08.2004,536.24
31.08.2004,544.35
01.09.2004,546.83
02.09.2004,551.695
03.09.2004,553.445
06.09.2004,558.66
07.09.2004,563.815
08.09.2004,562.89
09.09.2004,564.18
10.09.2004,570.22
13.09.2004,572.71
14.09.2004,575.335
15.09.2004,580.755
16.09.2004,581.225
17.09.2004,576.945
20.09.2004,582.14
21.09.2004,587.595
22.09.2004,589.895
23.09.2004,586.685
24.09.2004,588.555
27.09.2004,592.155
28.09.2004,596.795
29.09.2004,606.84
30.09.2004,609.56
01.10.2004,627.12
04.10.2004,648.145
05.10.2004,674.0
06.10.2004,697.995
07.10.2004,707.325
08.10.2004,705.615
11.10.2004,682.325
12.10.2004,652.015
13.10.2004,638.055
14.10.2004,635.58
15.10.2004,629.235
18.10.2004,635.2
19.10.2004,638.26
20.10.2004,619.625
21.10.2004,607.545
22.10.2004,617.335
25.10.2004,620.37
26.10.2004,618.14
27.10.2004,636.45
28.10.2004,631.44
29.10.2004,628.705
01.11.2004,630.535
02.11.2004,614.84
03.11.2004,621.975
04.11.2004,622.835
05.11.2004,634.355
09.11.2004,639.795
10.11.2004,631.365
11.11.2004,627.615
12.11.2004,625.595
15.11.2004,628.585
16.11.2004,627.39
17.11.2004,635.97
18.11.2004,641.305
19.11.2004,625.955
22.11.2004,614.445
23.11.2004,606.48
24.11.2004,594.95
25.11.2004,576.09
26.11.2004,578.41
29.11.2004,574.3
30.11.2004,574.045
01.12.2004,559.81
02.12.2004,546.58
03.12.2004,543.48
06.12.2004,532.985
07.12.2004,547.63
08.12.2004,533.195
09.12.2004,512.79
10.12.2004,496.685
14.12.2004,507.065
15.12.2004,515.94
16.12.2004,517.185
17.12.2004,504.095
20.12.2004,501.28
21.12.2004,525.055
22.12.2004,530.88
23.12.2004,538.06
24.12.2004,545.505
27.12.2004,551.06
28.12.2004,551.3
29.12.2004,543.195
30.12.2004,549.135
11.01.2005,549.49
12.01.2005,545.155
13.01.2005,543.18
14.01.2005,548.49
17.01.2005,551.2
18.01.2005,540.94
19.01.2005,538.705
20.01.2005,538.12
21.01.2005,536.03
24.01.2005,543.125
25.01.2005,553.38
26.01.2005,552.01
27.01.2005,555.225
28.01.2005,562.9
31.01.2005,575.845
01.02.2005,578.31
02.02.2005,587.18
03.02.2005,592.18
04.02.2005,591.075
07.02.2005,593.75
08.02.2005,590.575
09.02.2005,594.915
10.02.2005,586.825
11.02.2005,586.63
14.02.2005,587.605
15.02.2005,588.495
16.02.2005,594.345
17.02.2005,596.985
18.02.2005,598.77
21.02.2005,603.055
22.02.2005,604.02
24.02.2005,611.605
25.02.2005,622.595
28.02.2005,629.365
01.03.2005,628.885
02.03.2005,618.24
03.03.2005,610.275
04.03.2005,615.745
05.03.2005,624.315
09.03.2005,625.74
10.03.2005,614.05
11.03.2005,603.035
14.03.2005,602.675
15.03.2005,599.155
16.03.2005,585.05
17.03.2005,578.94
18.03.2005,585.865
21.03.2005,578.205
22.03.2005,576.415
23.03.2005,575.18
24.03.2005,585.82
25.03.2005,601.06
28.03.2005,600.1
29.03.2005,599.06
30.03.2005,590.805
31.03.2005,594.785
01.04.2005,603.505
04.04.2005,609.89
05.04.2005,608.52
06.04.2005,619.26
07.04.2005,627.98
08.04.2005,628.93
11.04.2005,618.29
12.04.2005,611.855
13.04.2005,619.99
14.04.2005,610.575
15.04.2005,604.255
18.04.2005,594.525
19.04.2005,594.81
20.04.2005,598.915
21.04.2005,597.94
22.04.2005,608.18
25.04.2005,614.65
26.04.2005,609.065
27.04.2005,600.425
28.04.2005,597.155
29.04.2005,595.1
03.05.2005,596.25
04.05.2005,598.475
05.05.2005,601.125
06.05.2005,597.9
11.05.2005,592.86
12.05.2005,585.07
13.05.2005,576.985
14.05.2005,579.205
16.05.2005,571.61
17.05.2005,575.125
18.05.2005,586.885
19.05.2005,588.75
20.05.2005,585.705
23.05.2005,585.75
24.05.2005,596.2
25.05.2005,600.87
26.05.2005,597.81
27.05.2005,599.335
30.05.2005,595.375
31.05.2005,600.155
01.06.2005,600.905
02.06.2005,605.085
03.06.2005,607.155
06.06.2005,605.945
07.06.2005,605.9
08.06.2005,606.39
09.06.2005,606.66
10.06.2005,608.75
14.06.2005,616.05
15.06.2005,619.415
16.06.2005,619.205
17.06.2005,620.62
20.06.2005,625.65
21.06.2005,621.555
22.06.2005,624.66
23.06.2005,630.815
24.06.2005,631.75
27.06.2005,630.205
28.06.2005,627.295
29.06.2005,631.58
30.06.2005,636.17
01.07.2005,644.51
04.07.2005,653.215
05.07.2005,652.195
06.07.2005,663.395
07.07.2005,667.71
08.07.2005,678.255
11.07.2005,683.895
12.07.2005,678.465
13.07.2005,682.85
14.07.2005,685.45
15.07.2005,677.855
18.07.2005,674.925
19.07.2005,675.205
20.07.2005,684.53
21.07.2005,688.085
22.07.2005,691.1
25.07.2005,700.23
26.07.2005,697.16
27.07.2005,696.925
28.07.2005,698.615
29.07.2005,703.625
01.08.2005,697.66
02.08.2005,707.15
03.08.2005,705.005
04.08.2005,703.74
05.08.2005,712.46
08.08.2005,716.36
09.08.2005,720.47
10.08.2005,722.26
11.08.2005,717.115
12.08.2005,706.43
15.08.2005,709.08
16.08.2005,726.405
17.08.2005,740.35
18.08.2005,742.46
19.08.2005,748.82
22.08.2005,758.275
23.08.2005,761.345
24.08.2005,760.325
25.08.2005,762.015
26.08.2005,768.74
29.08.2005,769.24
30.08.2005,780.715
31.08.2005,775.33
01.09.2005,792.3
02.09.2005,797.095
05.09.2005,803.57
06.09.2005,784.75
07.09.2005,763.9
08.09.2005,765.345
09.09.2005,784.58
12.09.2005,795.29
13.09.2005,790.415
14.09.2005,783.225
15.09.2005,796.11
16.09.2005,804.77
19.09.2005,822.495
20.09.2005,841.05
21.09.2005,842.15
22.09.2005,865.66
23.09.2005,862.675
26.09.2005,856.245
27.09.2005,872.875
28.09.2005,889.005
29.09.2005,886.525
30.09.2005,887.2
03.10.2005,913.14
04.10.2005,945.015
05.10.2005,917.645
06.10.2005,869.575
07.10.2005,845.385
10.10.2005,858.655
11.10.2005,884.025
12.10.2005,887.575
13.10.2005,842.725
14.10.2005,824.7
17.10.2005,815.59
18.10.2005,826.83
19.10.2005,803.635
20.10.2005,795.23
21.10.2005,787.31
24.10.2005,810.75
25.10.2005,819.135
26.10.2005,816.33
27.10.2005,809.02
28.10.2005,806.625
31.10.2005,831.03
01.11.2005,847.24
02.11.2005,858.885
03.11.2005,876.735
07.11.2005,877.14
08.11.2005,878.45
09.11.2005,889.25
10.11.2005,883.1
11.11.2005,874.945
14.11.2005,892.165
15.11.2005,906.41
16.11.2005,899.59
17.11.2005,919.87
18.11.2005,928.015
21.11.2005,936.475
22.11.2005,928.515
23.11.2005,926.275
24.11.2005,926.43
25.11.2005,933.82
28.11.2005,947.36
29.11.2005,934.32
30.11.2005,939.105
01.12.2005,957.45
02.12.2005,981.34
05.12.2005,990.545
06.12.2005,981.855
07.12.2005,990.315
08.12.2005,983.29
09.12.2005,997.84
12.12.2005,1000.545
13.12.2005,1000.135
14.12.2005,997.8
15.12.2005,998.415
16.12.2005,994.88
19.12.2005,997.08
20.12.2005,988.535
21.12.2005,999.095
22.12.2005,1011.79
23.12.2005,1023.91
26.12.2005,1019.075
27.12.2005,1017.61
28.12.2005,1005.545
29.12.2005,1009.38
30.12.2005,1012.38
10.01.2006,1040.15
11.01.2006,1073.765
12.01.2006,1112.05
13.01.2006,1120.4
16.01.2006,1131.845
17.01.2006,1139.8
18.01.2006,1104.2
19.01.2006,1118.775
20.01.2006,1161.51
23.01.2006,1152.815
24.01.2006,1153.955
25.01.2006,1169.455
26.01.2006,1185.925
27.01.2006,1207.08
30.01.2006,1212.545
31.01.2006,1188.59
01.02.2006,1179.735
02.02.2006,1195.28
03.02.2006,1177.235
06.02.2006,1179.615
07.02.2006,1188.145
08.02.2006,1185.38
09.02.2006,1220.96
10.02.2006,1233.145
13.02.2006,1230.655
14.02.2006,1252.06
15.02.2006,1236.24
16.02.2006,1246.29
17.02.2006,1278.055
20.02.2006,1319.79
21.02.2006,1333.365
22.02.2006,1331.97
26.02.2006,1375.305
27.02.2006,1397.045
28.02.2006,1358.045
01.03.2006,1324.97
02.03.2006,1343.205
03.03.2006,1354.835
06.03.2006,1348.465
07.03.2006,1296.945
09.03.2006,1234.065
10.03.2006,1227.5
13.03.2006,1254.2
14.03.2006,1258.89
15.03.2006,1247.115
16.03.2006,1247.145
17.03.2006,1274.485
20.03.2006,1284.385
21.03.2006,1262.68
22.03.2006,1267.855
23.03.2006,1289.415
24.03.2006,1281.1
27.03.2006,1298.03
28.03.2006,1281.66
29.03.2006,1259.79
30.03.2006,1274.035
31.03.2006,1299.19
03.04.2006,1308.055
04.04.2006,1314.635
05.04.2006,1323.15
06.04.2006,1348.6
07.04.2006,1356.22
10.04.2006,1385.48
11.04.2006,1417.44
12.04.2006,1397.945
13.04.2006,1409.295
14.04.2006,1404.415
17.04.2006,1421.985
18.04.2006,1437.665
19.04.2006,1451.93
20.04.2006,1456.275
21.04.2006,1447.75
24.04.2006,1465.28
25.04.2006,1463.415
26.04.2006,1478.03
27.04.2006,1477.54
28.04.2006,1464.28
02.05.2006,1514.46
03.05.2006,1544.295
04.05.2006,1538.565
05.05.2006,1561.495
06.05.2006,1573.795
10.05.2006,1577.73
11.05.2006,1529.08
12.05.2006,1508.63
15.05.2006,1435.21
16.05.2006,1381.135
17.05.2006,1388.825
18.05.2006,1308.05
19.05.2006,1298.455
22.05.2006,1197.24
23.05.2006,1194.46
24.05.2006,1224.34
25.05.2006,1237.595
26.05.2006,1311.555
29.05.2006,1340.165
30.05.2006,1300.36
31.05.2006,1286.07
01.06.2006,1284.205
02.06.2006,1332.035
05.06.2006,1366.21
06.06.2006,1319.005
07.06.2006,1256.87
08.06.2006,1221.9
09.06.2006,1201.455
13.06.2006,1134.925
14.06.2006,1106.735
15.06.2006,1176.31
16.06.2006,1206.985
19.06.2006,1198.515
20.06.2006,1200.985
21.06.2006,1224.605
22.06.2006,1228.045
23.06.2006,1195.865
26.06.2006,1193.05
27.06.2006,1229.96
28.06.2006,1246.365
29.06.2006,1278.925
30.06.2006,1318.49
03.07.2006,1345.82
04.07.2006,1357.0
05.07.2006,1339.53
06.07.2006,1340.71
07.07.2006,1369.35
10.07.2006,1368.84
11.07.2006,1377.975
12.07.2006,1382.0
13.07.2006,1336.315
14.07.2006,1299.875
17.07.2006,1292.93
18.07.2006,1278.205
19.07.2006,1305.725
20.07.2006,1341.24
21.07.2006,1319.805
24.07.2006,1321.765
25.07.2006,1343.505
26.07.2006,1342.605
27.07.2006,1369.055
28.07.2006,1381.28
31.07.2006,1389.605
01.08.2006,1383.655
02.08.2006,1384.53
03.08.2006,1395.055
04.08.2006,1431.765
07.08.2006,1436.61
08.08.2006,1439.94
09.08.2006,1450.385
10.08.2006,1451.22
11.08.2006,1467.465
14.08.2006,1484.855
15.08.2006,1456.585
16.08.2006,1479.495
17.08.2006,1477.81
18.08.2006,1432.15
21.08.2006,1419.84
22.08.2006,1443.98
23.08.2006,1453.115
24.08.2006,1447.125
25.08.2006,1450.595
28.08.2006,1451.075
29.08.2006,1458.26
30.08.2006,1458.495
31.08.2006,1458.93
01.09.2006,1442.525
04.09.2006,1442.32
05.09.2006,1462.455
06.09.2006,1462.255
07.09.2006,1421.005
08.09.2006,1404.575
11.09.2006,1374.72
12.09.2006,1360.325
13.09.2006,1376.515
14.09.2006,1395.955
15.09.2006,1380.425
18.09.2006,1378.93
19.09.2006,1391.985
20.09.2006,1375.87
21.09.2006,1357.49
22.09.2006,1328.35
25.09.2006,1276.795
26.09.2006,1280.625
27.09.2006,1324.525
28.09.2006,1353.15
29.09.2006,1365.56
02.10.2006,1371.745
03.10.2006,1350.105
04.10.2006,1325.01
05.10.2006,1367.24
06.10.2006,1376.555
09.10.2006,1389.975
10.10.2006,1407.655
11.10.2006,1402.615
12.10.2006,1408.775
13.10.2006,1426.69
16.10.2006,1438.76
17.10.2006,1439.725
18.10.2006,1437.235
19.10.2006,1446.96
20.10.2006,1451.71
23.10.2006,1436.415
24.10.2006,1430.45
25.10.2006,1436.74
26.10.2006,1450.22
27.10.2006,1432.205
30.10.2006,1417.755
31.10.2006,1413.285
01.11.2006,1442.52
02.11.2006,1444.41
03.11.2006,1444.39
07.11.2006,1470.69
08.11.2006,1476.5
09.11.2006,1491.24
10.11.2006,1497.02
13.11.2006,1503.28
14.11.2006,1498.965
15.11.2006,1502.99
16.11.2006,1509.54
17.11.2006,1502.28
20.11.2006,1495.885
21.11.2006,1501.79
22.11.2006,1511.425
23.11.2006,1510.675
24.11.2006,1515.235
27.11.2006,1522.96
28.11.2006,1513.46
29.11.2006,1534.31
30.11.2006,1551.99
01.12.2006,1555.97
04.12.2006,1557.52
05.12.2006,1576.83
06.12.2006,1592.395
07.12.2006,1605.775
08.12.2006,1608.78
