date,avg,min,max,open,close
27.08.2004,532.065,525.92,538.21,527.72,536.80
30.08.2004,536.24,532.86,539.62,536.80,538.88
31.08.2004,544.35,537.04,551.66,538.88,549.28
01.09.2004,546.83,542.47,551.19,549.28,550.43
02.09.2004,551.695,546.23,557.16,550.43,550.67
03.09.2004,553.445,548.16,558.73,550.67,557.59
06.09.2004,558.66,553.05,564.27,557.59,563.24
07.09.2004,563.815,560.84,566.79,563.24,562.73
08.09.2004,562.89,560.02,565.76,562.73,560.87
09.09.2004,564.18,560.12,568.24,560.87,566.96
10.09.2004,570.22,566.72,573.72,566.96,571.83
13.09.2004,572.71,568.86,576.56,571.83,570.76
14.09.2004,575.335,567.21,583.46,570.76,581.11
15.09.2004,580.755,577.99,583.52,581.11,582.88
16.09.2004,581.225,574.85,587.60,582.88,575.44
17.09.2004,576.945,573.49,580.40,575.44,579.99
20.09.2004,582.14,579.29,584.99,579.99,583.11
21.09.2004,587.595,583.11,592.08,583.11,590.84
22.09.2004,589.895,584.94,594.85,590.84,587.44
23.09.2004,586.685,583.98,589.39,587.44,587.19
24.09.2004,588.555,586.56,590.55,587.19,589.72
27.09.2004,592.155,587.99,596.32,589.72,590.28
28.09.2004,596.795,589.79,603.80,590.28,602.22
29.09.2004,606.84,602.21,611.47,602.22,605.56
30.09.2004,609.56,605.56,613.56,605.56,611.03
01.10.2004,627.12,611.03,643.21,611.03,642.79
04.10.2004,648.145,641.62,654.67,642.79,649.31
05.10.2004,674.0,648.94,699.06,649.31,695.12
06.10.2004,697.995,691.88,704.11,695.12,704.04
07.10.2004,707.325,704.04,710.61,704.04,707.55
08.10.2004,705.615,702.74,708.49,707.55,707.14
11.10.2004,682.325,657.51,707.14,707.14,665.31
12.10.2004,652.015,636.86,667.17,665.31,637.86
13.10.2004,638.055,631.79,644.32,637.86,634.54
14.10.2004,635.58,627.91,643.25,634.54,636.11
15.10.2004,629.235,622.36,636.11,636.11,629.29
18.10.2004,635.2,629.29,641.11,629.29,638.71
19.10.2004,638.26,634.27,642.25,638.71,634.86
20.10.2004,619.625,604.15,635.10,634.86,605.40
21.10.2004,607.545,601.67,613.42,605.40,611.28
22.10.2004,617.335,611.28,623.39,611.28,623.12
25.10.2004,620.37,615.03,625.71,623.12,615.90
26.10.2004,618.14,608.32,627.96,615.90,627.86
27.10.2004,636.45,627.86,645.04,627.86,638.29
28.10.2004,631.44,621.96,640.92,638.29,624.92
29.10.2004,628.705,623.66,633.75,624.92,632.97
01.11.2004,630.535,622.43,638.64,632.97,622.67
02.11.2004,614.84,607.01,622.67,622.67,620.96
03.11.2004,621.975,617.55,626.40,620.96,620.48
04.11.2004,622.835,612.38,633.29,620.48,632.97
05.11.2004,634.355,630.14,638.57,632.97,636.02
09.11.2004,639.795,636.02,643.57,636.02,637.72
10.11.2004,631.365,625.00,637.73,637.72,627.76
11.11.2004,627.615,621.13,634.10,627.76,624.88
12.11.2004,625.595,623.62,627.57,624.88,626.80
15.11.2004,628.585,626.02,631.15,626.80,628.12
16.11.2004,627.39,622.12,632.66,628.12,632.06
17.11.2004,635.97,629.69,642.25,632.06,640.56
18.11.2004,641.305,633.12,649.49,640.56,642.04
19.11.2004,625.955,606.14,645.77,642.04,610.38
22.11.2004,614.445,608.71,620.18,610.38,614.46
23.11.2004,606.48,598.50,614.46,614.46,600.10
24.11.2004,594.95,584.02,605.88,600.10,586.70
25.11.2004,576.09,565.16,587.02,586.70,578.01
26.11.2004,578.41,572.21,584.61,578.01,575.91
29.11.2004,574.3,568.35,580.25,575.91,574.67
30.11.2004,574.045,570.44,577.65,574.67,570.76
01.12.2004,559.81,548.74,570.88,570.76,550.96
02.12.2004,546.58,537.64,555.52,550.96,551.63
03.12.2004,543.48,533.98,552.98,551.63,537.40
06.12.2004,532.985,526.76,539.21,537.40,538.50
07.12.2004,547.63,538.50,556.76,538.50,553.80
08.12.2004,533.195,508.20,558.19,553.80,520.39
09.12.2004,512.79,493.52,532.06,520.39,498.00
10.12.2004,496.685,483.55,509.82,498.00,495.24
14.12.2004,507.065,495.23,518.90,495.24,518.64
15.12.2004,515.94,508.56,523.32,518.64,519.02
16.12.2004,517.185,511.50,522.87,519.02,514.87
17.12.2004,504.095,492.09,516.10,514.87,496.59
20.12.2004,501.28,489.96,512.60,496.59,512.25
21.12.2004,525.055,512.25,537.86,512.25,534.90
22.12.2004,530.88,525.03,536.73,534.90,531.36
23.12.2004,538.06,528.23,547.89,531.36,544.82
24.12.2004,545.505,540.92,550.09,544.82,547.12
27.12.2004,551.06,545.84,556.28,547.12,555.78
28.12.2004,551.3,544.92,557.68,555.78,548.15
29.12.2004,543.195,538.24,548.15,548.15,546.55
30.12.2004,549.135,545.59,552.68,546.55,552.22
11.01.2005,549.49,542.78,556.20,552.18,547.85
12.01.2005,545.155,539.63,550.68,547.85,545.31
13.01.2005,543.18,539.59,546.77,545.38,543.90
14.01.2005,548.49,543.36,553.62,543.91,548.69
17.01.2005,551.2,544.04,558.36,548.69,544.04
18.01.2005,540.94,533.97,547.91,544.04,535.94
19.01.2005,538.705,533.89,543.52,535.96,543.52
20.01.2005,538.12,532.26,543.98,543.54,534.60
21.01.2005,536.03,532.41,539.65,534.60,537.72
24.01.2005,543.125,537.72,548.53,537.77,548.23
25.01.2005,553.38,547.79,558.97,548.24,553.96
26.01.2005,552.01,548.02,556.00,553.97,552.68
27.01.2005,555.225,551.20,559.25,552.69,557.13
28.01.2005,562.9,552.84,572.96,557.13,571.65
31.01.2005,575.845,568.07,583.62,571.68,575.74
01.02.2005,578.31,572.47,584.15,575.74,583.33
02.02.2005,587.18,582.50,591.86,583.33,587.98
03.02.2005,592.18,587.98,596.38,587.98,593.25
04.02.2005,591.075,587.69,594.46,593.25,592.79
07.02.2005,593.75,588.00,599.50,592.81,588.16
08.02.2005,590.575,584.64,596.51,588.16,596.45
09.02.2005,594.915,589.16,600.67,596.47,590.03
10.02.2005,586.825,582.69,590.96,590.03,590.81
11.02.2005,586.63,581.96,591.30,590.81,585.50
14.02.2005,587.605,582.88,592.33,585.50,585.65
15.02.2005,588.495,585.24,591.75,585.65,591.73
16.02.2005,594.345,590.61,598.08,591.75,593.87
17.02.2005,596.985,593.55,600.42,593.87,598.11
18.02.2005,598.77,594.67,602.87,598.11,600.67
21.02.2005,603.055,600.67,605.44,600.68,605.26
22.02.2005,604.02,600.14,607.90,605.26,603.62
24.02.2005,611.605,603.24,619.97,603.62,619.55
25.02.2005,622.595,618.39,626.80,619.64,625.33
28.02.2005,629.365,623.31,635.42,625.33,635.38
01.03.2005,628.885,621.94,635.83,635.38,622.73
02.03.2005,618.24,608.35,628.13,622.74,608.57
03.03.2005,610.275,606.85,613.70,608.58,608.94
04.03.2005,615.745,608.80,622.69,608.94,622.31
05.03.2005,624.315,622.31,626.32,622.31,625.87
09.03.2005,625.74,619.20,632.28,625.87,623.74
10.03.2005,614.05,604.36,623.74,623.74,606.21
11.03.2005,603.035,597.41,608.66,606.19,608.45
