date,close,open,max,min
27.08.2004,"536,80","527,72","538,21","525,92"
30.08.2004,"538,88","536,80","539,62","532,86"
31.08.2004,"549,28","538,88","551,66","537,04"
01.09.2004,"550,43","549,28","551,19","542,47"
02.09.2004,"550,67","550,43","557,16","546,23"
03.09.2004,"557,59","550,67","558,73","548,16"
06.09.2004,"563,24","557,59","564,27","553,05"
07.09.2004,"562,73","563,24","566,79","560,84"
08.09.2004,"560,87","562,73","565,76","560,02"
09.09.2004,"566,96","560,87","568,24","560,12"
10.09.2004,"571,83","566,96","573,72","566,72"
13.09.2004,"570,76","571,83","576,56","568,86"
14.09.2004,"581,11","570,76","583,46","567,21"
15.09.2004,"582,88","581,11","583,52","577,99"
16.09.2004,"575,44","582,88","587,60","574,85"
17.09.2004,"579,99","575,44","580,40","573,49"
20.09.2004,"583,11","579,99","584,99","579,29"
21.09.2004,"590,84","583,11","592,08","583,11"
22.09.2004,"587,44","590,84","594,85","584,94"
23.09.2004,"587,19","587,44","589,39","583,98"
24.09.2004,"589,72","587,19","590,55","586,56"
27.09.2004,"590,28","589,72","596,32","587,99"
28.09.2004,"602,22","590,28","603,80","589,79"
29.09.2004,"605,56","602,22","611,47","602,21"
30.09.2004,"611,03","605,56","613,56","605,56"
01.10.2004,"642,79","611,03","643,21","611,03"
04.10.2004,"649,31","642,79","654,67","641,62"
05.10.2004,"695,12","649,31","699,06","648,94"
06.10.2004,"704,04","695,12","704,11","691,88"
07.10.2004,"707,55","704,04","710,61","704,04"
08.10.2004,"707,14","707,55","708,49","702,74"
11.10.2004,"665,31","707,14","707,14","657,51"
12.10.2004,"637,86","665,31","667,17","636,86"
13.10.2004,"634,54","637,86","644,32","631,79"
14.10.2004,"636,11","634,54","643,25","627,91"
15.10.2004,"629,29","636,11","636,11","622,36"
18.10.2004,"638,71","629,29","641,11","629,29"
19.10.2004,"634,86","638,71","642,25","634,27"
20.10.2004,"605,40","634,86","635,10","604,15"
21.10.2004,"611,28","605,40","613,42","601,67"
22.10.2004,"623,12","611,28","623,39","611,28"
25.10.2004,"615,90","623,12","625,71","615,03"
26.10.2004,"627,86","615,90","627,96","608,32"
27.10.2004,"638,29","627,86","645,04","627,86"
28.10.2004,"624,92","638,29","640,92","621,96"
29.10.2004,"632,97","624,92","633,75","623,66"
01.11.2004,"622,67","632,97","638,64","622,43"
02.11.2004,"620,96","622,67","622,67","607,01"
03.11.2004,"620,48","620,96","626,40","617,55"
04.11.2004,"632,97","620,48","633,29","612,38"
05.11.2004,"636,02","632,97","638,57","630,14"
09.11.2004,"637,72","636,02","643,57","636,02"
10.11.2004,"627,76","637,72","637,73","625,00"
11.11.2004,"624,88","627,76","634,10","621,13"
12.11.2004,"626,80","624,88","627,57","623,62"
15.11.2004,"628,12","626,80","631,15","626,02"
16.11.2004,"632,06","628,12","632,66","622,12"
17.11.2004,"640,56","632,06","642,25","629,69"
18.11.2004,"642,04","640,56","649,49","633,12"
19.11.2004,"610,38","642,04","645,77","606,14"
22.11.2004,"614,46","610,38","620,18","608,71"
23.11.2004,"600,10","614,46","614,46","598,50"
24.11.2004,"586,70","600,10","605,88","584,02"
25.11.2004,"578,01","586,70","587,02","565,16"
26.11.2004,"575,91","578,01","584,61","572,21"
29.11.2004,"574,67","575,91","580,25","568,35"
30.11.2004,"570,76","574,67","577,65","570,44"
01.12.2004,"550,96","570,76","570,88","548,74"
02.12.2004,"551,63","550,96","555,52","537,64"
03.12.2004,"537,40","551,63","552,98","533,98"
06.12.2004,"538,50","537,40","539,21","526,76"
07.12.2004,"553,80","538,50","556,76","538,50"
08.12.2004,"520,39","553,80","558,19","508,20"
09.12.2004,"498,00","520,39","532,06","493,52"
10.12.2004,"495,24","498,00","509,82","483,55"
14.12.2004,"518,64","495,24","518,90","495,23"
15.12.2004,"519,02","518,64","523,32","508,56"
16.12.2004,"514,87","519,02","522,87","511,50"
17.12.2004,"496,59","514,87","516,10","492,09"
20.12.2004,"512,25","496,59","512,60","489,96"
21.12.2004,"534,90","512,25","537,86","512,25"
22.12.2004,"531,36","534,90","536,73","525,03"
23.12.2004,"544,82","531,36","547,89","528,23"
24.12.2004,"547,12","544,82","550,09","540,92"
27.12.2004,"555,78","547,12","556,28","545,84"
28.12.2004,"548,15","555,78","557,68","544,92"
29.12.2004,"546,55","548,15","548,15","538,24"
30.12.2004,"552,22","546,55","552,68","545,59"
11.01.2005,"547,85","552,18","556,20","542,78"
12.01.2005,"545,31","547,85","550,68","539,63"
13.01.2005,"543,90","545,38","546,77","539,59"
14.01.2005,"548,69","543,91","553,62","543,36"
17.01.2005,"544,04","548,69","558,36","544,04"
18.01.2005,"535,94","544,04","547,91","533,97"
19.01.2005,"543,52","535,96","543,52","533,89"
20.01.2005,"534,60","543,54","543,98","532,26"
21.01.2005,"537,72","534,60","539,65","532,41"
24.01.2005,"548,23","537,77","548,53","537,72"
25.01.2005,"553,96","548,24","558,97","547,79"
26.01.2005,"552,68","553,97","556,00","548,02"
27.01.2005,"557,13","552,69","559,25","551,20"
28.01.2005,"571,65","557,13","572,96","552,84"
31.01.2005,"575,74","571,68","583,62","568,07"
01.02.2005,"583,33","575,74","584,15","572,47"
02.02.2005,"587,98","583,33","591,86","582,50"
03.02.2005,"593,25","587,98","596,38","587,98"
04.02.2005,"592,79","593,25","594,46","587,69"
07.02.2005,"588,16","592,81","599,50","588,00"
08.02.2005,"596,45","588,16","596,51","584,64"
09.02.2005,"590,03","596,47","600,67","589,16"
10.02.2005,"590,81","590,03","590,96","582,69"
11.02.2005,"585,50","590,81","591,30","581,96"
14.02.2005,"585,65","585,50","592,33","582,88"
15.02.2005,"591,73","585,65","591,75","585,24"
16.02.2005,"593,87","591,75","598,08","590,61"
17.02.2005,"598,11","593,87","600,42","593,55"
18.02.2005,"600,67","598,11","602,87","594,67"
21.02.2005,"605,26","600,68","605,44","600,67"
22.02.2005,"603,62","605,26","607,90","600,14"
