date,min,max
27.08.2004,525.92,538.21
30.08.2004,532.86,539.62
31.08.2004,537.04,551.66
01.09.2004,542.47,551.19
02.09.2004,546.23,557.16
03.09.2004,548.16,558.73
06.09.2004,553.05,564.27
07.09.2004,560.84,566.79
08.09.2004,560.02,565.76
09.09.2004,560.12,568.24
10.09.2004,566.72,573.72
13.09.2004,568.86,576.56
14.09.2004,567.21,583.46
15.09.2004,577.99,583.52
16.09.2004,574.85,587.60
17.09.2004,573.49,580.40
20.09.2004,579.29,584.99
21.09.2004,583.11,592.08
22.09.2004,584.94,594.85
23.09.2004,583.98,589.39
24.09.2004,586.56,590.55
27.09.2004,587.99,596.32
28.09.2004,589.79,603.80
29.09.2004,602.21,611.47
30.09.2004,605.56,613.56
01.10.2004,611.03,643.21
04.10.2004,641.62,654.67
05.10.2004,648.94,699.06
06.10.2004,691.88,704.11
07.10.2004,704.04,710.61
08.10.2004,702.74,708.49
11.10.2004,657.51,707.14
12.10.2004,636.86,667.17
13.10.2004,631.79,644.32
14.10.2004,627.91,643.25
15.10.2004,622.36,636.11
18.10.2004,629.29,641.11
19.10.2004,634.27,642.25
20.10.2004,604.15,635.10
21.10.2004,601.67,613.42
22.10.2004,611.28,623.39
25.10.2004,615.03,625.71
26.10.2004,608.32,627.96
27.10.2004,627.86,645.04
28.10.2004,621.96,640.92
29.10.2004,623.66,633.75
01.11.2004,622.43,638.64
02.11.2004,607.01,622.67
03.11.2004,617.55,626.40
04.11.2004,612.38,633.29
05.11.2004,630.14,638.57
09.11.2004,636.02,643.57
10.11.2004,625.00,637.73
11.11.2004,621.13,634.10
12.11.2004,623.62,627.57
15.11.2004,626.02,631.15
16.11.2004,622.12,632.66
17.11.2004,629.69,642.25
18.11.2004,633.12,649.49
19.11.2004,606.14,645.77
22.11.2004,608.71,620.18
23.11.2004,598.50,614.46
24.11.2004,584.02,605.88
25.11.2004,565.16,587.02
26.11.2004,572.21,584.61
29.11.2004,568.35,580.25
30.11.2004,570.44,577.65
01.12.2004,548.74,570.88
02.12.2004,537.64,555.52
03.12.2004,533.98,552.98
06.12.2004,526.76,539.21
07.12.2004,538.50,556.76
08.12.2004,508.20,558.19
09.12.2004,493.52,532.06
10.12.2004,483.55,509.82
14.12.2004,495.23,518.90
15.12.2004,508.56,523.32
16.12.2004,511.50,522.87
17.12.2004,492.09,516.10
20.12.2004,489.96,512.60
21.12.2004,512.25,537.86
22.12.2004,525.03,536.73
23.12.2004,528.23,547.89
24.12.2004,540.92,550.09
27.12.2004,545.84,556.28
28.12.2004,544.92,557.68
29.12.2004,538.24,548.15
30.12.2004,545.59,552.68
11.01.2005,542.78,556.20
12.01.2005,539.63,550.68
13.01.2005,539.59,546.77
14.01.2005,543.36,553.62
17.01.2005,544.04,558.36
18.01.2005,533.97,547.91
19.01.2005,533.89,543.52
20.01.2005,532.26,543.98
21.01.2005,532.41,539.65
24.01.2005,537.72,548.53
25.01.2005,547.79,558.97
26.01.2005,548.02,556.00
27.01.2005,551.20,559.25
28.01.2005,552.84,572.96
31.01.2005,568.07,583.62
01.02.2005,572.47,584.15
02.02.2005,582.50,591.86
03.02.2005,587.98,596.38
04.02.2005,587.69,594.46
07.02.2005,588.00,599.50
08.02.2005,584.64,596.51
09.02.2005,589.16,600.67
10.02.2005,582.69,590.96
11.02.2005,581.96,591.30
14.02.2005,582.88,592.33
15.02.2005,585.24,591.75
16.02.2005,590.61,598.08
17.02.2005,593.55,600.42
18.02.2005,594.67,602.87
21.02.2005,600.67,605.44
22.02.2005,600.14,607.90
24.02.2005,603.24,619.97
25.02.2005,618.39,626.80
28.02.2005,623.31,635.42
01.03.2005,621.94,635.83
02.03.2005,608.35,628.13
03.03.2005,606.85,613.70
04.03.2005,608.80,622.69
05.03.2005,622.31,626.32
09.03.2005,619.20,632.28
10.03.2005,604.36,623.74
11.03.2005,597.41,608.66
14.03.2005,596.26,609.09
15.03.2005,593.88,604.43
16.03.2005,573.40,596.70
17.03.2005,573.36,584.52
18.03.2005,579.30,592.43
21.03.2005,569.43,586.98
22.03.2005,568.72,584.11
23.03.2005,566.27,584.09
24.03.2005,573.76,597.88
25.03.2005,596.94,605.18
28.03.2005,595.83,604.37
29.03.2005,593.67,604.45
30.03.2005,584.63,596.98
31.03.2005,590.94,598.63
01.04.2005,595.01,612.00
04.04.2005,604.34,615.44
05.04.2005,604.19,612.85
06.04.2005,611.78,626.74
07.04.2005,622.86,633.10
08.04.2005,623.38,634.48
11.04.2005,605.44,631.14
12.04.2005,606.14,617.57
13.04.2005,615.94,624.04
14.04.2005,604.13,617.02
15.04.2005,600.20,608.31
18.04.2005,586.34,602.71
19.04.2005,591.11,598.51
20.04.2005,593.47,604.36
21.04.2005,591.56,604.32
22.04.2005,603.79,612.57
25.04.2005,608.01,621.29
26.04.2005,604.13,614.00
27.04.2005,594.85,606.00
28.04.2005,592.33,601.98
29.04.2005,592.25,597.95
03.05.2005,593.88,598.62
04.05.2005,595.35,601.60
05.05.2005,597.51,604.74
06.05.2005,596.10,599.70
11.05.2005,588.35,597.37
12.05.2005,580.89,589.25
13.05.2005,572.41,581.56
14.05.2005,577.91,580.50
16.05.2005,564.42,578.80
17.05.2005,563.24,587.01
18.05.2005,583.74,590.03
19.05.2005,586.00,591.50
20.05.2005,583.30,588.11
23.05.2005,584.13,587.37
24.05.2005,587.06,605.34
25.05.2005,595.20,606.54
26.05.2005,593.87,601.75
27.05.2005,596.11,602.56
30.05.2005,592.92,597.83
31.05.2005,593.97,606.34
01.06.2005,596.98,604.83
02.06.2005,601.29,608.88
03.06.2005,604.09,610.22
06.06.2005,602.80,609.09
07.06.2005,602.78,609.02
08.06.2005,604.18,608.60
09.06.2005,604.95,608.37
10.06.2005,605.43,612.07
14.06.2005,611.19,620.91
15.06.2005,615.70,623.13
16.06.2005,615.15,623.26
17.06.2005,616.78,624.46
20.06.2005,623.92,627.38
21.06.2005,618.42,624.69
22.06.2005,620.31,629.01
23.06.2005,626.35,635.28
24.06.2005,628.63,634.87
27.06.2005,627.26,633.15
28.06.2005,623.60,630.99
29.06.2005,629.07,634.09
30.06.2005,630.08,642.26
01.07.2005,639.35,649.67
04.07.2005,649.08,657.35
05.07.2005,648.02,656.37
06.07.2005,651.12,675.67
07.07.2005,656.35,679.07
08.07.2005,671.73,684.78
11.07.2005,679.55,688.24
12.07.2005,673.51,683.42
13.07.2005,676.79,688.91
14.07.2005,681.58,689.32
15.07.2005,672.82,682.89
18.07.2005,670.16,679.69
19.07.2005,670.38,680.03
20.07.2005,679.56,689.50
21.07.2005,682.21,693.96
22.07.2005,683.18,699.02
25.07.2005,695.15,705.31
26.07.2005,690.86,703.46
27.07.2005,691.74,702.11
28.07.2005,693.09,704.14
29.07.2005,698.36,708.89
01.08.2005,691.79,703.53
02.08.2005,702.34,711.96
03.08.2005,696.12,713.89
04.08.2005,694.17,713.31
05.08.2005,708.77,716.15
08.08.2005,712.46,720.26
09.08.2005,716.15,724.79
10.08.2005,717.51,727.01
11.08.2005,709.10,725.13
12.08.2005,701.59,711.27
15.08.2005,702.86,715.30
16.08.2005,714.42,738.39
17.08.2005,732.30,748.40
18.08.2005,734.24,750.68
19.08.2005,739.90,757.74
22.08.2005,751.11,765.44
23.08.2005,758.20,764.49
24.08.2005,755.17,765.48
25.08.2005,757.95,766.08
26.08.2005,765.53,771.95
29.08.2005,764.84,773.64
30.08.2005,772.91,788.52
